,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1455,150.27,11,0.76%,0,0.00%,,,
18-44,"173,546",7849,452.27,112,1.43%,5,0.06%,,,
45-64,"116,740",3129,268.03,160,5.11%,21,0.67%,,,
65-74,"40,633",830,204.27,82,9.88%,25,3.01%,,,
75+,"28,440",539,189.52,106,19.67%,54,10.02%,,,
,,,,,,,,,,
Females,242211,7177,296.31,248,3.46%,38,0.53%,,,
Males,228102,6543,286.85,222,3.39%,67,1.02%,,,
Unknown,N/A,82,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,145,128.47,3,2.07%,0,0.00%,,,
Black,41858,1281,306.03,84,6.56%,16,1.25%,,,
White,404469,10249,253.39,358,3.49%,85,0.83%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,530,433.40,13,2.45%,2,0.38%,,,
Unknown,N/A,1567,N/A,9,0.57%,2,0.13%,,,
,,,,,,,,,,
Hispanic,20694,1323,639.32,49,3.70%,4,0.30%,,,
Non-Hispanic,449619,10664,237.18,412,3.86%,94,0.88%,,,
Unknown,N/A,1815,N/A,10,0.55%,7,0.39%,,,
,,,,,,,,,,
Total,"470,313",13802,293.46,471,3.41%,105,0.76%,,,
