,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6416,662.63,28,0.44%,0,0.00%,,,
18-44,"173,546",25608,1475.57,192,0.75%,13,0.05%,,,
45-64,"116,740",13703,1173.81,398,2.90%,97,0.71%,,,
65-74,"40,633",3791,932.99,319,8.41%,144,3.80%,,,
75+,"28,440",2664,936.71,480,18.02%,384,14.41%,,,
,,,,,,,,,,
Females,242211,27591,1139.13,706,2.56%,289,1.05%,,,
Males,228102,24239,1062.64,707,2.92%,349,1.44%,,,
Unknown,N/A,352,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,636,563.48,15,2.36%,6,0.94%,,,
Black,41858,3920,936.50,162,4.13%,44,1.12%,,,
White,404469,39795,983.88,1181,2.97%,557,1.40%,,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,,
Other ,12229,1799,1471.09,22,1.22%,3,0.17%,,,
Unknown,N/A,5968,N/A,33,0.55%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2790,1348.22,73,2.62%,6,0.22%,,,
Non-Hispanic,449619,39733,883.70,1283,3.23%,573,1.44%,,,
Unknown,N/A,9659,N/A,61,0.63%,59,0.61%,,,
,,,,,,,,,,
Total,"470,313",52182,1109.52,1417,2.72%,638,1.22%,,,
