,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13636,1404.51,49,0.36%,0,0.00%
18-44,183183,37099,2025.24,263,0.71%,40,0.11%
45-64,116628,19379,1661.61,550,2.84%,185,0.95%
65-74,46724,5294,1133.04,493,9.31%,231,4.36%
75+,31987,3546,1108.58,658,18.56%,469,13.23%
,,,,,,,
Females,244460,41792,1709.56,1002,2.40%,413,0.99%
Males,231149,36456,1577.16,1007,2.76%,512,1.40%
Unknown,N/A,706,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,822,700.35,20,2.43%,7,0.85%
Black,42291,6580,1555.89,246,3.74%,86,1.31%
White,408000,57044,1398.14,1665,2.92%,796,1.40%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3899,3000.15,34,0.87%,6,0.15%
Unknown,N/A,10519,N/A,44,0.42%,30,0.29%
,,,,,,,
Hispanic,22336,3545,1587.12,87,2.45%,13,0.37%
Non-Hispanic,453273,56355,1243.29,1827,3.24%,837,1.49%
Unknown,N/A,19054,N/A,99,0.52%,75,0.39%
,,,,,,,
Total,"475,609",78954,1660.06,2013,2.55%,925,1.17%
