,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5667,585.28,27,0.48%,0,0.00%,,,
18-44,"173,546",23091,1330.54,168,0.73%,11,0.05%,,,
45-64,"116,740",12438,1065.44,338,2.72%,81,0.65%,,,
65-74,"40,633",3511,864.08,286,8.15%,130,3.70%,,,
75+,"28,440",2553,897.68,450,17.63%,319,12.50%,,,
,,,,,,,,,,
Females,242211,25038,1033.73,644,2.57%,245,0.98%,,,
Males,228102,21862,958.43,621,2.84%,296,1.35%,,,
Unknown,N/A,360,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,568,503.23,13,2.29%,4,0.70%,,,
Black,41858,3504,837.12,141,4.02%,34,0.97%,,,
White,404469,35647,881.33,1059,2.97%,451,1.27%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1536,1256.03,21,1.37%,3,0.20%,,,
Unknown,N/A,5948,N/A,31,0.52%,48,0.81%,,,
,,,,,,,,,,
Hispanic,20694,2577,1245.29,70,2.72%,10,0.39%,,,
Non-Hispanic,449619,35063,779.84,1146,3.27%,465,1.33%,,,
Unknown,N/A,9620,N/A,53,0.55%,66,0.69%,,,
,,,,,,,,,,
Total,"470,313",47260,1004.86,1269,2.69%,541,1.14%,,,
