,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1051,108.55,10,0.95%,0,0.00%,,
18-44,"173,546",6147,354.20,97,1.58%,5,0.08%,,
45-64,"116,740",2094,179.37,125,5.97%,20,0.96%,,
65-74,"40,633",554,136.34,57,10.29%,21,3.79%,,
75+,"28,440",351,123.42,74,21.08%,37,10.54%,,
,,,,,,,,,
Females,242211,5256,217.00,189,3.60%,29,0.55%,,
Males,228102,4883,214.07,174,3.56%,54,1.11%,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,131,116.06,2,1.53%,0,0.00%,,
Black,41858,1021,243.92,70,6.86%,13,1.27%,,
White,404469,7542,186.47,269,3.57%,66,0.88%,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,
Other ,12229,456,372.88,10,2.19%,2,0.44%,,
Unknown,N/A,1019,N/A,8,0.79%,2,0.20%,,
,,,,,,,,,
Hispanic,20694,1191,575.53,48,4.03%,4,0.34%,,
Non-Hispanic,449619,7871,175.06,305,3.87%,73,0.93%,,
Unknown,N/A,1135,N/A,10,0.88%,6,0.53%,,
,,,,,,,,,
Total,"470,313",10197,216.81,363,3.56%,83,0.81%,,
