,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1577,162.87,11,0.70%,0,0.00%,,,
18-44,"173,546",8265,476.24,118,1.43%,5,0.06%,,,
45-64,"116,740",3367,288.42,165,4.90%,21,0.62%,,,
65-74,"40,633",902,221.99,85,9.42%,28,3.10%,,,
75+,"28,440",597,209.92,119,19.93%,61,10.22%,,,
,,,,,,,,,,
Females,242211,7638,315.34,259,3.39%,38,0.50%,,,
Males,228102,6966,305.39,237,3.40%,77,1.11%,,,
Unknown,N/A,104,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,151,133.78,3,1.99%,0,0.00%,,,
Black,41858,1310,312.96,85,6.49%,17,1.30%,,,
White,404469,10945,270.60,383,3.50%,95,0.87%,,,
Hawaiian/Pacific Islander,470,31,659.57,4,12.90%,0,0.00%,,,
Other ,12229,544,444.84,13,2.39%,2,0.37%,,,
Unknown,N/A,1727,N/A,10,0.58%,1,0.06%,,,
,,,,,,,,,,
Hispanic,20694,1356,655.26,49,3.61%,4,0.29%,,,
Non-Hispanic,449619,11302,251.37,437,3.87%,104,0.92%,,,
Unknown,N/A,2050,N/A,12,0.59%,7,0.34%,,,
,,,,,,,,,,
Total,"470,313",14708,312.73,498,3.39%,115,0.78%,,,
