,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4502,464.96,22,0.49%,0,0.00%,,,
18-44,"173,546",19914,1147.48,150,0.75%,10,0.05%,,,
45-64,"116,740",10570,905.43,281,2.66%,61,0.58%,,,
65-74,"40,633",2980,733.39,217,7.28%,92,3.09%,,,
75+,"28,440",2179,766.17,367,16.84%,244,11.20%,,,
,,,,,,,,,,
Females,242211,21209,875.64,530,2.50%,175,0.83%,,,
Males,228102,18573,814.24,505,2.72%,232,1.25%,,,
Unknown,N/A,363,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,427,378.31,11,2.58%,3,0.70%,,,
Black,41858,2849,680.63,118,4.14%,30,1.05%,,,
White,404469,29067,718.65,854,2.94%,327,1.12%,,,
Hawaiian/Pacific Islander,470,45,957.45,4,8.89%,1,2.22%,,,
Other ,12229,1384,1131.74,18,1.30%,3,0.22%,,,
Unknown,N/A,6373,N/A,32,0.50%,43,0.67%,,,
,,,,,,,,,,
Hispanic,20694,2235,1080.02,61,2.73%,9,0.40%,,,
Non-Hispanic,449619,27386,609.09,922,3.37%,349,1.27%,,,
Unknown,N/A,10524,N/A,54,0.51%,49,0.47%,,,
,,,,,,,,,,
Total,"470,313",40145,853.58,1037,2.58%,407,1.01%,,,
