,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",657,67.85,7,1.07%,0,0.00%,,,
18-44,"173,546",3604,207.67,68,1.89%,5,0.14%,,,
45-64,"116,740",1463,125.32,96,6.56%,16,1.09%,,,
65-74,"40,633",339,83.43,33,9.73%,9,2.65%,,,
75+,"28,440",223,78.41,51,22.87%,25,11.21%,,,
,,,,,,,,,,
Females,242211,3157,130.34,128,4.05%,21,0.67%,,,
Males,228102,3047,133.58,127,4.17%,34,1.12%,,,
,,,,,,,,,,
Asian,11287,57,50.50,2,3.51%,0,0.00%,,,
Black,41858,758,181.09,54,7.12%,10,1.32%,,,
White,404469,4305,106.44,180,4.18%,36,0.84%,,,
Hawaiian/Pacific Islander,470,18,382.98,4,22.22%,0,0.00%,,,
Other ,12229,355,290.29,8,2.25%,2,0.56%,,,
Unknown,N/A,793,N/A,7,0.88%,7,0.88%,,,
,,,,,,,,,,
Hispanic,20694,923,446.02,45,4.88%,5,0.54%,,,
Non-Hispanic,449619,4423,98.37,203,4.59%,39,0.88%,,,
Unknown,N/A,940,N/A,7,0.74%,11,1.17%,,,
,,,,,,,,,,
Total,"470,313",6286,133.66,255,4.06%,55,0.87%,,,
