,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5383,555.95,24,0.45%,0,0.00%,,,
18-44,"173,546",22247,1281.91,162,0.73%,11,0.05%,,,
45-64,"116,740",11871,1016.88,322,2.71%,77,0.65%,,,
65-74,"40,633",3376,830.85,265,7.85%,122,3.61%,,,
75+,"28,440",2474,869.90,428,17.30%,305,12.33%,,,
,,,,,,,,,,
Females,242211,24005,991.08,613,2.55%,232,0.97%,,,
Males,228102,20976,919.59,585,2.79%,283,1.35%,,,
Unknown,N/A,370,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,538,476.65,12,2.23%,4,0.74%,,,
Black,41858,3312,791.25,132,3.99%,33,1.00%,,,
White,404469,33519,828.72,1000,2.98%,427,1.27%,,,
Hawaiian/Pacific Islander,470,52,1106.38,4,7.69%,1,1.92%,,,
Other ,12229,1454,1188.98,19,1.31%,3,0.21%,,,
Unknown,N/A,6476,N/A,34,0.53%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2490,1203.25,67,2.69%,10,0.40%,,,
Non-Hispanic,449619,32242,717.10,1068,3.31%,441,1.37%,,,
Unknown,N/A,10619,N/A,66,0.62%,64,0.60%,,,
,,,,,,,,,,
Total,"470,313",45351,964.27,1201,2.65%,515,1.14%,,,
