,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14410,1484.24,50,0.35%,0,0.00%
18-44,183183,39173,2138.46,287,0.73%,43,0.11%
45-64,116628,20500,1757.73,635,3.10%,212,1.03%
65-74,46724,5595,1197.46,523,9.35%,241,4.31%
75+,31987,3766,1177.35,705,18.72%,500,13.28%
,,,,,,,
Females,244460,44230,1809.29,1102,2.49%,442,1.00%
Males,231149,38514,1666.20,1095,2.84%,554,1.44%
Unknown,N/A,700,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,902,768.51,20,2.22%,7,0.78%
Black,42291,6873,1625.17,265,3.86%,91,1.32%
White,408000,60740,1488.73,1823,3.00%,860,1.42%
Hawaiian/Pacific Islander,585,96,1641.03,5,5.21%,1,1.04%
Other ,12996,4130,3177.90,38,0.92%,6,0.15%
Unknown,N/A,10703,N/A,49,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3694,1653.83,92,2.49%,13,0.35%
Non-Hispanic,453273,59945,1322.49,1998,3.33%,903,1.51%
Unknown,N/A,19805,N/A,110,0.56%,80,0.40%
,,,,,,,
Total,"475,609",83444,1754.47,2200,2.64%,996,1.19%
