,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1207,124.66,10,0.83%,0,0.00%,,
18-44,"173,546",6800,391.83,102,1.50%,5,0.07%,,
45-64,"116,740",2466,211.24,138,5.60%,20,0.81%,,
65-74,"40,633",657,161.69,65,9.89%,21,3.20%,,
75+,"28,440",395,138.89,80,20.25%,40,10.13%,,
,,,,,,,,,
Females,242211,5962,246.15,207,3.47%,29,0.49%,,
Males,228102,5504,241.30,188,3.42%,57,1.04%,,
Unknown,N/A,59,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,133,117.83,2,1.50%,0,0.00%,,
Black,41858,1123,268.29,78,6.95%,14,1.25%,,
White,404469,8550,211.39,294,3.44%,68,0.80%,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,
Other ,12229,483,394.96,10,2.07%,2,0.41%,,
Unknown,N/A,1208,N/A,7,0.58%,2,0.17%,,
,,,,,,,,,
Hispanic,20694,1232,595.34,48,3.90%,4,0.32%,,
Non-Hispanic,449619,8924,198.48,338,3.79%,76,0.85%,,
Unknown,N/A,1369,N/A,9,0.66%,6,0.44%,,
,,,,,,,,,
Total,"470,313",11525,245.05,395,3.43%,86,0.75%,,
