,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5153,532.19,23,0.45%,0,0.00%,,,
18-44,"173,546",21666,1248.43,158,0.73%,10,0.05%,,,
45-64,"116,740",11542,988.69,315,2.73%,74,0.64%,,,
65-74,"40,633",3276,806.24,257,7.84%,120,3.66%,,,
75+,"28,440",2406,845.99,416,17.29%,295,12.26%,,,
,,,,,,,,,,
Females,242211,23306,962.22,596,2.56%,225,0.97%,,,
Males,228102,20370,893.02,570,2.80%,274,1.35%,,,
Unknown,N/A,367,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,,
Black,41858,3202,764.97,128,4.00%,33,1.03%,,,
White,404469,32421,801.57,971,2.99%,411,1.27%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1462,1195.52,19,1.30%,3,0.21%,,,
Unknown,N/A,6385,N/A,35,0.55%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2435,1176.67,65,2.67%,9,0.37%,,,
Non-Hispanic,449619,31140,692.59,1041,3.34%,430,1.38%,,,
Unknown,N/A,10468,N/A,63,0.60%,60,0.57%,,,
,,,,,,,,,,
Total,"470,313",44043,936.46,1169,2.65%,499,1.13%,,,
