,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5788,597.77,27,0.47%,0,0.00%,,,
18-44,"173,546",23464,1352.03,170,0.72%,10,0.04%,,,
45-64,"116,740",12653,1083.86,344,2.72%,81,0.64%,,,
65-74,"40,633",3583,881.80,292,8.15%,139,3.88%,,,
75+,"28,440",2573,904.71,453,17.61%,364,14.15%,,,
,,,,,,,,,,
Females,242211,25464,1051.31,647,2.54%,271,1.06%,,,
Males,228102,22252,975.53,635,2.85%,323,1.45%,,,
Unknown,N/A,345,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,581,514.75,13,2.24%,5,0.86%,,,
Black,41858,3578,854.79,143,4.00%,35,0.98%,,,
White,404469,36349,898.68,1073,2.95%,523,1.44%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1550,1267.48,22,1.42%,3,0.19%,,,
Unknown,N/A,5945,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2610,1261.24,71,2.72%,6,0.23%,,,
Non-Hispanic,449619,35912,798.72,1162,3.24%,531,1.48%,,,
Unknown,N/A,9539,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48061,1021.89,1286,2.68%,594,1.24%,,,
