,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",913,94.29,9,0.99%,0,0.00%,,
18-44,"173,546",5597,322.51,92,1.64%,5,0.09%,,
45-64,"116,740",1851,158.56,109,5.89%,16,0.86%,,
65-74,"40,633",471,115.92,46,9.77%,16,3.40%,,
75+,"28,440",311,109.35,64,20.58%,31,9.97%,,
,,,,,,,,,
Females,242211,4715,194.66,164,3.48%,24,0.51%,,
Males,228102,4375,191.80,156,3.57%,44,1.01%,,
Unknown,N/A,53,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,108,95.69,2,1.85%,0,0.00%,,
Black,41858,950,226.96,66,6.95%,10,1.05%,,
White,404469,6611,163.45,230,3.48%,48,0.73%,,
Hawaiian/Pacific Islander,470,25,531.91,4,16.00%,0,0.00%,,
Other ,12229,430,351.62,9,2.09%,2,0.47%,,
Unknown,N/A,1019,N/A,9,0.88%,8,0.79%,,
,,,,,,,,,
Hispanic,20694,1111,536.87,46,4.14%,5,0.45%,,
Non-Hispanic,449619,6808,151.42,265,3.89%,51,0.75%,,
Unknown,N/A,1224,N/A,9,0.74%,12,0.98%,,
,,,,,,,,,
Total,"470,313",9143,194.40,320,3.50%,68,0.74%,,
