,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",587,60.62,5,0.85%,0,0.00%,,,
18-44,"173,546",3286,189.34,63,1.92%,5,0.15%,,,
45-64,"116,740",1334,114.27,94,7.05%,15,1.12%,,,
65-74,"40,633",316,77.77,30,9.49%,9,2.85%,,,
75+,"28,440",208,73.14,47,22.60%,23,11.06%,,,
,,,,,,,,,,
Females,242211,2894,119.48,120,4.15%,20,0.69%,,,
Males,228102,2789,122.27,119,4.27%,32,1.15%,,,
,,,,,,,,,,
Asian,11287,49,43.41,2,4.08%,0,0.00%,,,
Black,41858,687,164.13,52,7.57%,10,1.46%,,,
White,404469,3824,94.54,165,4.31%,33,0.86%,,,
Hawaiian/Pacific Islander,470,17,361.70,4,23.53%,0,0.00%,,,
Other ,12229,310,253.50,8,2.58%,2,0.65%,,,
Unknown,N/A,844,N/A,8,0.95%,7,0.83%,,,
,,,,,,,,,,
Hispanic,20694,823,397.70,42,5.10%,4,0.49%,,,
Non-Hispanic,449619,3861,85.87,191,4.95%,37,0.96%,,,
Unknown,N/A,1047,N/A,6,0.57%,11,1.05%,,,
,,,,,,,,,,
Total,"470,313",5731,121.86,239,4.17%,52,0.91%,,,
