,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",842,86.96,9,1.07%,0,0.00%,,,
18-44,"173,546",5259,303.03,89,1.69%,5,0.10%,,,
45-64,"116,740",1759,150.68,105,5.97%,16,0.91%,,,
65-74,"40,633",454,111.73,41,9.03%,15,3.30%,,,
75+,"28,440",298,104.78,62,20.81%,31,10.40%,,,
,,,,,,,,,,
Females,242211,4445,183.52,157,3.53%,24,0.54%,,,
Males,228102,4114,180.36,149,3.62%,43,1.05%,,,
Unknown,N/A,53,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,99,87.71,2,2.02%,0,0.00%,,,
Black,41858,912,217.88,63,6.91%,10,1.10%,,,
White,404469,6166,152.45,221,3.58%,48,0.78%,,,
Hawaiian/Pacific Islander,470,25,531.91,4,16.00%,0,0.00%,,,
Other ,12229,406,332.00,9,2.22%,2,0.49%,,,
Unknown,N/A,1004,N/A,7,0.70%,7,0.70%,,,
,,,,,,,,,,
Hispanic,20694,1083,523.34,46,4.25%,5,0.46%,,,
Non-Hispanic,449619,6332,140.83,252,3.98%,51,0.81%,,,
Unknown,N/A,1197,N/A,8,0.67%,11,0.92%,,,
,,,,,,,,,,
Total,"470,313",8612,183.11,306,3.55%,67,0.78%,,,
