,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5914,610.79,27,0.46%,0,0.00%,,,
18-44,"173,546",23894,1376.81,172,0.72%,11,0.05%,,,
45-64,"116,740",12868,1102.28,353,2.74%,84,0.65%,,,
65-74,"40,633",3630,893.36,298,8.21%,141,3.88%,,,
75+,"28,440",2602,914.91,457,17.56%,368,14.14%,,,
,,,,,,,,,,
Females,242211,25905,1069.52,656,2.53%,277,1.07%,,,
Males,228102,22668,993.77,647,2.85%,327,1.44%,,,
Unknown,N/A,335,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,591,523.61,13,2.20%,5,0.85%,,,
Black,41858,3653,872.71,148,4.05%,38,1.04%,,,
White,404469,37045,915.89,1089,2.94%,530,1.43%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1577,1289.56,22,1.40%,3,0.19%,,,
Unknown,N/A,5984,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2637,1274.28,71,2.69%,6,0.23%,,,
Non-Hispanic,449619,36661,815.38,1182,3.22%,541,1.48%,,,
Unknown,N/A,9610,N/A,54,0.56%,57,0.59%,,,
,,,,,,,,,,
Total,"470,313",48908,1039.90,1307,2.67%,604,1.23%,,,
