,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13723,1413.47,49,0.36%,0,0.00%
18-44,183183,37323,2037.47,268,0.72%,40,0.11%
45-64,116628,19499,1671.90,567,2.91%,191,0.98%
65-74,46724,5317,1137.96,496,9.33%,232,4.36%
75+,31987,3582,1119.83,667,18.62%,471,13.15%
,,,,,,,
Females,244460,42064,1720.69,1020,2.42%,416,0.99%
Males,231149,36673,1586.55,1023,2.79%,518,1.41%
Unknown,N/A,707,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,829,706.31,19,2.29%,7,0.84%
Black,42291,6624,1566.29,250,3.77%,86,1.30%
White,408000,57486,1408.97,1695,2.95%,805,1.40%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3899,3000.15,35,0.90%,6,0.15%
Unknown,N/A,10516,N/A,44,0.42%,30,0.29%
,,,,,,,
Hispanic,22336,3562,1594.73,88,2.47%,13,0.36%
Non-Hispanic,453273,56796,1253.02,1857,3.27%,845,1.49%
Unknown,N/A,19086,N/A,102,0.53%,76,0.40%
,,,,,,,
Total,"475,609",79444,1670.36,2047,2.58%,934,1.18%
