,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6219,642.29,28,0.45%,0,0.00%,,,
18-44,"173,546",25034,1442.50,186,0.74%,11,0.04%,,,
45-64,"116,740",13405,1148.28,382,2.85%,91,0.68%,,,
65-74,"40,633",3724,916.50,306,8.22%,143,3.84%,,,
75+,"28,440",2639,927.92,468,17.73%,380,14.40%,,,
,,,,,,,,,,
Females,242211,27000,1114.73,688,2.55%,287,1.06%,,,
Males,228102,23674,1037.87,678,2.86%,338,1.43%,,,
Unknown,N/A,347,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,625,553.73,14,2.24%,5,0.80%,,,
Black,41858,3821,912.85,156,4.08%,42,1.10%,,,
White,404469,38865,960.89,1143,2.94%,547,1.41%,,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,,
Other ,12229,1744,1426.12,22,1.26%,3,0.17%,,,
Unknown,N/A,5903,N/A,31,0.53%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2746,1326.95,72,2.62%,6,0.22%,,,
Non-Hispanic,449619,38714,861.04,1240,3.20%,560,1.45%,,,
Unknown,N/A,9561,N/A,58,0.61%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",51021,1084.83,1370,2.69%,625,1.22%,,,
