,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6102,630.20,28,0.46%,0,0.00%,,,
18-44,"173,546",24634,1419.45,183,0.74%,11,0.04%,,,
45-64,"116,740",13210,1131.57,376,2.85%,90,0.68%,,,
65-74,"40,633",3703,911.33,305,8.24%,143,3.86%,,,
75+,"28,440",2630,924.75,466,17.72%,377,14.33%,,,
,,,,,,,,,,
Females,242211,26609,1098.59,680,2.56%,287,1.08%,,,
Males,228102,23329,1022.74,674,2.89%,334,1.43%,,,
Unknown,N/A,341,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,618,547.53,14,2.27%,5,0.81%,,,
Black,41858,3749,895.65,154,4.11%,41,1.09%,,,
White,404469,38312,947.22,1132,2.95%,544,1.42%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1621,1325.54,22,1.36%,3,0.19%,,,
Unknown,N/A,5920,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2708,1308.59,72,2.66%,6,0.22%,,,
Non-Hispanic,449619,38082,846.98,1230,3.23%,556,1.46%,,,
Unknown,N/A,9489,N/A,56,0.59%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",50279,1069.05,1358,2.70%,621,1.24%,,,
