,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6335,654.27,28,0.44%,0,0.00%,,
18-44,"173,546",25402,1463.70,189,0.74%,12,0.05%,,
45-64,"116,740",13604,1165.32,391,2.87%,94,0.69%,,
65-74,"40,633",3767,927.08,315,8.36%,144,3.82%,,
75+,"28,440",2656,933.90,477,17.96%,384,14.46%,,
,,,,,,,,,
Females,242211,27383,1130.54,697,2.55%,288,1.05%,,
Males,228102,24032,1053.56,699,2.91%,346,1.44%,,
Unknown,N/A,349,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,635,562.59,14,2.20%,5,0.79%,,
Black,41858,3892,929.81,160,4.11%,42,1.08%,,
White,404469,39457,975.53,1168,2.96%,556,1.41%,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,
Other ,12229,1775,1451.47,22,1.24%,3,0.17%,,
Unknown,N/A,5942,N/A,32,0.54%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2776,1341.45,72,2.59%,6,0.22%,,
Non-Hispanic,449619,39377,875.79,1269,3.22%,569,1.45%,,
Unknown,N/A,9611,N/A,59,0.61%,59,0.61%,,
,,,,,,,,,
Total,"470,313",51764,1100.63,1400,2.70%,634,1.22%,,
