,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1902,196.43,12,0.63%,0,0.00%,,,
18-44,"173,546",9782,563.65,123,1.26%,5,0.05%,,,
45-64,"116,740",4223,361.74,178,4.22%,25,0.59%,,,
65-74,"40,633",1160,285.48,97,8.36%,36,3.10%,,,
75+,"28,440",777,273.21,146,18.79%,82,10.55%,,,
,,,,,,,,,,
Females,242211,9293,383.67,282,3.03%,54,0.58%,,,
Males,228102,8395,368.04,272,3.24%,94,1.12%,,,
Unknown,N/A,156,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,186,164.79,5,2.69%,1,0.54%,,,
Black,41858,1437,343.30,86,5.98%,17,1.18%,,,
White,404469,12966,320.57,439,3.39%,118,0.91%,,,
Hawaiian/Pacific Islander,470,35,744.68,4,11.43%,0,0.00%,,,
Other ,12229,639,522.53,13,2.03%,2,0.31%,,,
Unknown,N/A,2581,N/A,9,0.35%,10,0.39%,,,
,,,,,,,,,,
Hispanic,20694,1433,692.47,49,3.42%,4,0.28%,,,
Non-Hispanic,449619,13095,291.25,496,3.79%,127,0.97%,,,
Unknown,N/A,3316,N/A,11,0.33%,17,0.51%,,,
,,,,,,,,,,
Total,"470,313",17844,379.41,556,3.12%,148,0.83%,,,
