,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4032,416.42,18,0.45%,0,0.00%,,,
18-44,"173,546",18116,1043.87,140,0.77%,10,0.06%,,,
45-64,"116,740",9600,822.34,254,2.65%,50,0.52%,,,
65-74,"40,633",2702,664.98,182,6.74%,82,3.03%,,,
75+,"28,440",1918,674.40,279,14.55%,217,11.31%,,,
,,,,,,,,,,
Females,242211,19114,789.15,441,2.31%,151,0.79%,,,
Males,228102,16882,740.11,430,2.55%,208,1.23%,,,
Unknown,N/A,372,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,337,298.57,8,2.37%,2,0.59%,,,
Black,41858,2524,602.99,108,4.28%,28,1.11%,,,
White,404469,25283,625.09,712,2.82%,283,1.12%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,1108,906.04,15,1.35%,3,0.27%,,,
Unknown,N/A,7073,N/A,26,0.37%,42,0.59%,,,
,,,,,,,,,,
Hispanic,20694,1919,927.32,57,2.97%,9,0.47%,,,
Non-Hispanic,449619,23251,517.13,774,3.33%,304,1.31%,,,
Unknown,N/A,11198,N/A,42,0.38%,46,0.41%,,,
,,,,,,,,,,
Total,"470,313",36368,773.27,873,2.40%,359,0.99%,,,
