,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2342,241.88,14,0.60%,0,0.00%,,,
18-44,"173,546",11536,664.72,128,1.11%,7,0.06%,,,
45-64,"116,740",5341,457.51,194,3.63%,28,0.52%,,,
65-74,"40,633",1487,365.96,111,7.46%,45,3.03%,,,
75+,"28,440",992,348.80,173,17.44%,108,10.89%,,,
,,,,,,,,,,
Females,242211,11320,467.36,312,2.76%,73,0.64%,,,
Males,228102,10174,446.03,308,3.03%,115,1.13%,,,
Unknown,N/A,204,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,218,193.14,5,2.29%,1,0.46%,,,
Black,41858,1623,387.74,94,5.79%,22,1.36%,,,
White,404469,15158,374.76,498,3.29%,150,0.99%,,,
Hawaiian/Pacific Islander,470,38,808.51,4,10.53%,0,0.00%,,,
Other ,12229,680,556.06,13,1.91%,2,0.29%,,,
Unknown,N/A,3563,N/A,8,0.22%,13,0.36%,,,
,,,,,,,,,,
Hispanic,20694,1540,744.18,49,3.18%,7,0.45%,,,
Non-Hispanic,449619,15126,336.42,557,3.68%,161,1.06%,,,
Unknown,N/A,5032,N/A,16,0.32%,20,0.40%,,,
,,,,,,,,,,
Total,"470,313",21698,461.35,622,2.87%,188,0.87%,,,
