,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22011,2267.14,71,0.32%,1,0.00%
18-44,183183,59501,3248.17,303,0.51%,55,0.09%
45-64,116628,31280,2682.03,706,2.26%,273,0.87%
65-74,46724,8433,1804.85,681,8.08%,304,3.60%
75+,31987,5538,1731.33,888,16.03%,637,11.50%
,,,,,,,
Females,244460,68244,2791.62,1318,1.93%,572,0.84%
Males,231149,57686,2495.62,1328,2.30%,698,1.21%
Unknown,N/A,833,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1507,1283.97,22,1.46%,9,0.60%
Black,42291,10270,2428.41,328,3.19%,119,1.16%
White,408000,88332,2165.00,2195,2.48%,1099,1.24%
Hawaiian/Pacific Islander,585,140,2393.16,5,3.57%,1,0.71%
Other ,12996,8357,6430.44,45,0.54%,7,0.08%
Unknown,N/A,18157,N/A,54,0.30%,35,0.19%
,,,,,,,
Hispanic,22336,4470,2001.25,99,2.21%,19,0.43%
Non-Hispanic,453273,83515,1842.49,2413,2.89%,1155,1.38%
Unknown,N/A,38778,N/A,137,0.35%,96,0.25%
,,,,,,,
Total,"475,609",126763,2665.28,2649,2.09%,1270,1.00%
