,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1000,103.28,10,1.00%,0,0.00%,,
18-44,"173,546",5959,343.37,97,1.63%,5,0.08%,,
45-64,"116,740",1997,171.06,123,6.16%,18,0.90%,,
65-74,"40,633",524,128.96,52,9.92%,19,3.63%,,
75+,"28,440",333,117.09,69,20.72%,35,10.51%,,
,,,,,,,,,
Females,242211,5049,208.45,184,3.64%,27,0.53%,,
Males,228102,4708,206.40,167,3.55%,50,1.06%,,
Unknown,N/A,56,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,120,106.32,2,1.67%,0,0.00%,,
Black,41858,995,237.71,70,7.04%,13,1.31%,,
White,404469,7249,179.22,257,3.55%,60,0.83%,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,
Other ,12229,455,372.07,10,2.20%,2,0.44%,,
Unknown,N/A,966,N/A,8,0.83%,2,0.21%,,
,,,,,,,,,
Hispanic,20694,1170,565.38,48,4.10%,4,0.34%,,
Non-Hispanic,449619,7532,167.52,293,3.89%,67,0.89%,,
Unknown,N/A,1111,N/A,10,0.90%,6,0.54%,,
,,,,,,,,,
Total,"470,313",9813,208.65,351,3.58%,77,0.78%,,
