,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4758,491.40,22,0.46%,0,0.00%,,,
18-44,"173,546",20595,1186.72,150,0.73%,10,0.05%,,,
45-64,"116,740",10957,938.58,300,2.74%,68,0.62%,,,
65-74,"40,633",3105,764.16,237,7.63%,103,3.32%,,,
75+,"28,440",2300,808.72,391,17.00%,263,11.43%,,,
,,,,,,,,,,
Females,242211,22031,909.58,562,2.55%,197,0.89%,,,
Males,228102,19311,846.59,535,2.77%,247,1.28%,,,
Unknown,N/A,373,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,460,407.55,11,2.39%,3,0.65%,,,
Black,41858,3033,724.59,122,4.02%,31,1.02%,,,
White,404469,30485,753.70,909,2.98%,362,1.19%,,,
Hawaiian/Pacific Islander,470,49,1042.55,4,8.16%,1,2.04%,,,
Other ,12229,1315,1075.31,18,1.37%,3,0.23%,,,
Unknown,N/A,6373,N/A,36,0.56%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2337,1129.31,62,2.65%,9,0.39%,,,
Non-Hispanic,449619,28973,644.39,976,3.37%,381,1.32%,,,
Unknown,N/A,10405,N/A,62,0.60%,54,0.52%,,,
,,,,,,,,,,
Total,"470,313",41715,886.96,1100,2.64%,444,1.06%,,,
