,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",3901,402.89,16,0.41%,0,0.00%,,
18-44,"173,546",17459,1006.02,137,0.78%,9,0.05%,,
45-64,"116,740",9219,789.70,236,2.56%,47,0.51%,,
65-74,"40,633",2584,635.94,163,6.31%,77,2.98%,,
75+,"28,440",1849,650.14,253,13.68%,197,10.65%,,
,,,,,,,,,
Females,242211,18373,758.55,406,2.21%,135,0.73%,,
Males,228102,16280,713.72,397,2.44%,195,1.20%,,
Unknown,N/A,359,N/A,2,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,310,274.65,8,2.58%,2,0.65%,,
Black,41858,2365,565.01,104,4.40%,27,1.14%,,
White,404469,23743,587.02,655,2.76%,256,1.08%,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,
Other ,12229,1067,872.52,15,1.41%,3,0.28%,,
Unknown,N/A,7484,N/A,19,0.25%,41,0.55%,,
,,,,,,,,,
Hispanic,20694,1808,873.68,57,3.15%,9,0.50%,,
Non-Hispanic,449619,21495,478.07,719,3.34%,276,1.28%,,
Unknown,N/A,11709,N/A,29,0.25%,45,0.38%,,
,,,,,,,,,
Total,"470,313",35012,744.44,805,2.30%,330,0.94%,,
