,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22133,2279.71,72,0.33%,1,0.00%
18-44,183183,59900,3269.95,308,0.51%,61,0.10%
45-64,116628,31534,2703.81,717,2.27%,289,0.92%
65-74,46724,8526,1824.76,698,8.19%,325,3.81%
75+,31987,5680,1775.72,922,16.23%,670,11.80%
,,,,,,,
Females,244460,68877,2817.52,1356,1.97%,616,0.89%
Males,231149,58062,2511.89,1358,2.34%,730,1.26%
Unknown,N/A,834,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1558,1327.43,22,1.41%,9,0.58%
Black,42291,10411,2461.75,332,3.19%,124,1.19%
White,408000,89659,2197.52,2257,2.52%,1167,1.30%
Hawaiian/Pacific Islander,585,141,2410.26,5,3.55%,1,0.71%
Other ,12996,8300,6386.58,48,0.58%,8,0.10%
Unknown,N/A,17704,N/A,53,0.30%,37,0.21%
,,,,,,,
Hispanic,22336,4580,2050.50,104,2.27%,21,0.46%
Non-Hispanic,453273,85514,1886.59,2479,2.90%,1227,1.43%
Unknown,N/A,37679,N/A,134,0.36%,98,0.26%
,,,,,,,
Total,"475,609",127773,2686.51,2717,2.13%,1346,1.05%
