,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3610,372.83,13,0.36%,0,0.00%,,,
18-44,"173,546",16198,933.35,132,0.81%,9,0.06%,,,
45-64,"116,740",8434,722.46,220,2.61%,41,0.49%,,,
65-74,"40,633",2339,575.64,144,6.16%,74,3.16%,,,
75+,"28,440",1628,572.43,235,14.43%,175,10.75%,,,
,,,,,,,,,,
Females,242211,16823,694.56,369,2.19%,120,0.71%,,,
Males,228102,15054,659.97,373,2.48%,179,1.19%,,,
Unknown,N/A,332,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,287,254.27,7,2.44%,1,0.35%,,,
Black,41858,2132,509.34,101,4.74%,26,1.22%,,,
White,404469,21108,521.87,600,2.84%,238,1.13%,,,
Hawaiian/Pacific Islander,470,41,872.34,4,9.76%,1,2.44%,,,
Other ,12229,956,781.75,14,1.46%,3,0.31%,,,
Unknown,N/A,7685,N/A,18,0.23%,30,0.39%,,,
,,,,,,,,,,
Hispanic,20694,1692,817.63,55,3.25%,9,0.53%,,,
Non-Hispanic,449619,18885,420.02,664,3.52%,254,1.34%,,,
Unknown,N/A,11632,N/A,25,0.21%,36,0.31%,,,
,,,,,,,,,,
Total,"470,313",32209,684.84,744,2.31%,299,0.93%,,,
