,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,11652,1200.16,40,0.34%,0,0.00%
18-44,183183,33093,1806.55,219,0.66%,23,0.07%
45-64,116628,17080,1464.49,441,2.58%,134,0.78%
65-74,46724,4635,992.00,402,8.67%,183,3.95%
75+,31987,3145,983.21,567,18.03%,418,13.29%
,,,,,,,
Females,244460,36863,1507.94,839,2.28%,337,0.91%
Males,231149,32144,1390.62,827,2.57%,421,1.31%
Unknown,N/A,598,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,741,631.34,16,2.16%,6,0.81%
Black,42291,5711,1350.41,207,3.62%,62,1.09%
White,408000,49872,1222.35,1379,2.77%,656,1.32%
Hawaiian/Pacific Islander,585,82,1401.71,4,4.88%,0,0.00%
Other ,12996,3238,2491.54,29,0.90%,5,0.15%
Unknown,N/A,9961,N/A,34,0.34%,29,0.29%
,,,,,,,
Hispanic,22336,3222,1442.51,79,2.45%,11,0.34%
Non-Hispanic,453273,48402,1067.83,1513,3.13%,681,1.41%
Unknown,N/A,17981,N/A,77,0.43%,66,0.37%
,,,,,,,
Total,"475,609",69605,1463.49,1669,2.40%,758,1.09%
