,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1447,149.44,11,0.76%,0,0.00%,,,
18-44,"173,546",7790,448.87,112,1.44%,5,0.06%,,,
45-64,"116,740",3099,265.46,159,5.13%,21,0.68%,,,
65-74,"40,633",817,201.07,82,10.04%,25,3.06%,,,
75+,"28,440",534,187.76,105,19.66%,54,10.11%,,,
,,,,,,,,,,
Females,242211,7111,293.59,247,3.47%,38,0.53%,,,
Males,228102,6496,284.78,221,3.40%,67,1.03%,,,
Unknown,N/A,80,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,144,127.58,3,2.08%,0,0.00%,,,
Black,41858,1277,305.08,84,6.58%,16,1.25%,,,
White,404469,10156,251.09,356,3.51%,85,0.84%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,528,431.76,13,2.46%,2,0.38%,,,
Unknown,N/A,1552,N/A,9,0.58%,2,0.13%,,,
,,,,,,,,,,
Hispanic,20694,1317,636.42,49,3.72%,4,0.30%,,,
Non-Hispanic,449619,10563,234.93,410,3.88%,94,0.89%,,,
Unknown,N/A,1807,N/A,10,0.55%,7,0.39%,,,
,,,,,,,,,,
Total,"470,313",13687,291.02,469,3.43%,105,0.77%,,,
