,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5676,586.21,27,0.48%,0,0.00%,,,
18-44,"173,546",23126,1332.56,168,0.73%,11,0.05%,,,
45-64,"116,740",12477,1068.79,338,2.71%,81,0.65%,,,
65-74,"40,633",3524,867.28,286,8.12%,131,3.72%,,,
75+,"28,440",2557,899.09,451,17.64%,320,12.51%,,,
,,,,,,,,,,
Females,242211,25089,1035.83,643,2.56%,245,0.98%,,,
Males,228102,21911,960.58,623,2.84%,298,1.36%,,,
Unknown,N/A,360,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,571,505.89,13,2.28%,4,0.70%,,,
Black,41858,3510,838.55,141,4.02%,34,0.97%,,,
White,404469,35731,883.41,1060,2.97%,453,1.27%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1541,1260.12,21,1.36%,3,0.19%,,,
Unknown,N/A,5950,N/A,31,0.52%,48,0.81%,,,
,,,,,,,,,,
Hispanic,20694,2580,1246.74,70,2.71%,10,0.39%,,,
Non-Hispanic,449619,35155,781.88,1147,3.26%,467,1.33%,,,
Unknown,N/A,9625,N/A,53,0.55%,66,0.69%,,,
,,,,,,,,,,
Total,"470,313",47360,1006.99,1270,2.68%,543,1.15%,,,
