,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4290,443.06,22,0.51%,0,0.00%,,,
18-44,"173,546",19253,1109.39,144,0.75%,10,0.05%,,,
45-64,"116,740",10193,873.14,269,2.64%,53,0.52%,,,
65-74,"40,633",2868,705.83,205,7.15%,88,3.07%,,,
75+,"28,440",2098,737.69,334,15.92%,232,11.06%,,,
,,,,,,,,,,
Females,242211,20408,842.57,487,2.39%,163,0.80%,,,
Males,228102,17902,784.82,485,2.71%,220,1.23%,,,
Unknown,N/A,392,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,385,341.10,8,2.08%,3,0.78%,,,
Black,41858,2715,648.62,114,4.20%,28,1.03%,,,
White,404469,27452,678.72,802,2.92%,306,1.11%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,1034,845.53,15,1.45%,3,0.29%,,,
Unknown,N/A,7073,N/A,31,0.44%,42,0.59%,,,
,,,,,,,,,,
Hispanic,20694,2074,1002.22,59,2.84%,9,0.43%,,,
Non-Hispanic,449619,25472,566.52,865,3.40%,328,1.29%,,,
Unknown,N/A,11156,N/A,50,0.45%,46,0.41%,,,
,,,,,,,,,,
Total,"470,313",38702,822.90,974,2.52%,383,0.99%,,,
