,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",741,76.53,8,1.08%,0,0.00%,,,
18-44,"173,546",4291,247.25,75,1.75%,5,0.12%,,,
45-64,"116,740",1604,137.40,101,6.30%,16,1.00%,,,
65-74,"40,633",390,95.98,37,9.49%,13,3.33%,,,
75+,"28,440",257,90.37,53,20.62%,28,10.89%,,,
,,,,,,,,,,
Females,242211,3750,154.82,140,3.73%,23,0.61%,,,
Males,228102,3485,152.78,134,3.85%,39,1.12%,,,
Unknown,N/A,48,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,71,62.90,2,2.82%,0,0.00%,,,
Black,41858,824,196.86,57,6.92%,10,1.21%,,,
White,404469,5146,127.23,196,3.81%,43,0.84%,,,
Hawaiian/Pacific Islander,470,20,425.53,4,20.00%,0,0.00%,,,
Other ,12229,375,306.65,8,2.13%,2,0.53%,,,
Unknown,N/A,847,N/A,7,0.83%,7,0.83%,,,
,,,,,,,,,,
Hispanic,20694,1002,484.20,45,4.49%,5,0.50%,,,
Non-Hispanic,449619,5252,116.81,221,4.21%,46,0.88%,,,
Unknown,N/A,1029,N/A,8,0.78%,11,1.07%,,,
,,,,,,,,,,
Total,"470,313",7283,154.85,274,3.76%,62,0.85%,,,
