,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5347,552.23,24,0.45%,0,0.00%,,,
18-44,"173,546",22118,1274.47,161,0.73%,11,0.05%,,,
45-64,"116,740",11805,1011.22,320,2.71%,77,0.65%,,,
65-74,"40,633",3354,825.44,260,7.75%,121,3.61%,,,
75+,"28,440",2439,857.59,427,17.51%,305,12.51%,,,
,,,,,,,,,,
Females,242211,23845,984.47,609,2.55%,232,0.97%,,,
Males,228102,20848,913.98,580,2.78%,282,1.35%,,,
Unknown,N/A,370,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,536,474.88,12,2.24%,4,0.75%,,,
Black,41858,3291,786.23,129,3.92%,33,1.00%,,,
White,404469,33291,823.08,994,2.99%,426,1.28%,,,
Hawaiian/Pacific Islander,470,51,1085.11,4,7.84%,1,1.96%,,,
Other ,12229,1446,1182.44,19,1.31%,3,0.21%,,,
Unknown,N/A,6448,N/A,34,0.53%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2485,1200.83,67,2.70%,10,0.40%,,,
Non-Hispanic,449619,32031,712.40,1060,3.31%,440,1.37%,,,
Unknown,N/A,10547,N/A,65,0.62%,64,0.61%,,,
,,,,,,,,,,
Total,"470,313",45063,958.15,1192,2.65%,514,1.14%,,,
