,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2006,207.18,13,0.65%,0,0.00%,,,
18-44,"173,546",10202,587.86,125,1.23%,6,0.06%,,,
45-64,"116,740",4516,386.84,190,4.21%,26,0.58%,,,
65-74,"40,633",1258,309.60,104,8.27%,38,3.02%,,,
75+,"28,440",842,296.06,154,18.29%,90,10.69%,,,
,,,,,,,,,,
Females,242211,9621,397.22,296,3.08%,60,0.62%,,,
Males,228102,8703,381.54,288,3.31%,100,1.15%,,,
Unknown,N/A,156,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,197,174.54,5,2.54%,1,0.51%,,,
Black,41858,1496,357.40,88,5.88%,17,1.14%,,,
White,404469,13710,338.96,466,3.40%,127,0.93%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,650,531.52,13,2.00%,2,0.31%,,,
Unknown,N/A,2735,N/A,10,0.37%,13,0.48%,,,
,,,,,,,,,,
Hispanic,20694,1460,705.52,49,3.36%,5,0.34%,,,
Non-Hispanic,449619,13810,307.15,525,3.80%,135,0.98%,,,
Unknown,N/A,3554,N/A,12,0.34%,20,0.56%,,,
,,,,,,,,,,
Total,"470,313",18824,400.24,586,3.11%,160,0.85%,,,
