,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6214,641.77,28,0.45%,0,0.00%,,,
18-44,"173,546",25016,1441.46,186,0.74%,11,0.04%,,,
45-64,"116,740",13399,1147.76,381,2.84%,91,0.68%,,,
65-74,"40,633",3723,916.25,306,8.22%,143,3.84%,,,
75+,"28,440",2639,927.92,467,17.70%,380,14.40%,,,
,,,,,,,,,,
Females,242211,26986,1114.15,686,2.54%,287,1.06%,,,
Males,228102,23658,1037.17,678,2.87%,338,1.43%,,,
Unknown,N/A,347,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,625,553.73,14,2.24%,5,0.80%,,,
Black,41858,3818,912.13,156,4.09%,42,1.10%,,,
White,404469,38847,960.44,1141,2.94%,547,1.41%,,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,,
Other ,12229,1747,1428.57,22,1.26%,3,0.17%,,,
Unknown,N/A,5891,N/A,31,0.53%,28,0.48%,,,
,,,,,,,,,,
Hispanic,20694,2746,1326.95,72,2.62%,6,0.22%,,,
Non-Hispanic,449619,38691,860.53,1239,3.20%,560,1.45%,,,
Unknown,N/A,9554,N/A,57,0.60%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",50991,1084.19,1368,2.68%,625,1.23%,,,
