,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6278,648.38,28,0.45%,0,0.00%,,,
18-44,"173,546",25212,1452.76,186,0.74%,11,0.04%,,,
45-64,"116,740",13500,1156.42,388,2.87%,91,0.67%,,,
65-74,"40,633",3746,921.91,311,8.30%,144,3.84%,,,
75+,"28,440",2649,931.43,473,17.86%,382,14.42%,,,
,,,,,,,,,,
Females,242211,27190,1122.57,692,2.55%,287,1.06%,,,
Males,228102,23847,1045.45,690,2.89%,341,1.43%,,,
Unknown,N/A,348,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,633,560.82,14,2.21%,5,0.79%,,,
Black,41858,3868,924.08,160,4.14%,42,1.09%,,,
White,404469,39143,967.76,1154,2.95%,550,1.41%,,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,,
Other ,12229,1759,1438.38,22,1.25%,3,0.17%,,,
Unknown,N/A,5919,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2753,1330.34,72,2.62%,6,0.22%,,,
Non-Hispanic,449619,39072,869.00,1255,3.21%,563,1.44%,,,
Unknown,N/A,9560,N/A,59,0.62%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",51385,1092.57,1386,2.70%,628,1.22%,,,
