,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1011,104.41,10,0.99%,0,0.00%,,
18-44,"173,546",5999,345.67,97,1.62%,5,0.08%,,
45-64,"116,740",2017,172.78,124,6.15%,18,0.89%,,
65-74,"40,633",525,129.21,54,10.29%,19,3.62%,,
75+,"28,440",341,119.90,72,21.11%,36,10.56%,,
,,,,,,,,,
Females,242211,5090,210.15,186,3.65%,27,0.53%,,
Males,228102,4747,208.11,171,3.60%,51,1.07%,,
Unknown,N/A,56,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,121,107.20,2,1.65%,0,0.00%,,
Black,41858,1000,238.90,71,7.10%,13,1.30%,,
White,404469,7321,181.00,262,3.58%,61,0.83%,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,
Other ,12229,456,372.88,10,2.19%,2,0.44%,,
Unknown,N/A,967,N/A,8,0.83%,2,0.21%,,
,,,,,,,,,
Hispanic,20694,1178,569.25,48,4.07%,4,0.34%,,
Non-Hispanic,449619,7614,169.34,299,3.93%,68,0.89%,,
Unknown,N/A,1101,N/A,10,0.91%,6,0.54%,,
,,,,,,,,,
Total,"470,313",9893,210.35,357,3.61%,78,0.79%,,
