,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",572,59.08,5,0.87%,0,0.00%,,,
18-44,"173,546",3235,186.41,62,1.92%,5,0.15%,,,
45-64,"116,740",1305,111.79,93,7.13%,15,1.15%,,,
65-74,"40,633",308,75.80,29,9.42%,7,2.27%,,,
75+,"28,440",203,71.38,47,23.15%,23,11.33%,,,
,,,,,,,,,,
Females,242211,2837,117.13,120,4.23%,18,0.63%,,,
Males,228102,2737,119.99,116,4.24%,32,1.17%,,,
,,,,,,,,,,
Asian,11287,48,42.53,2,4.17%,0,0.00%,,,
Black,41858,663,158.39,52,7.84%,10,1.51%,,,
White,404469,3711,91.75,162,4.37%,31,0.84%,,,
Hawaiian/Pacific Islander,470,17,361.70,4,23.53%,0,0.00%,,,
Other ,12229,332,271.49,8,2.41%,2,0.60%,,,
Unknown,N/A,852,N/A,8,0.94%,7,0.82%,,,
,,,,,,,,,,
Hispanic,20694,812,392.38,42,5.17%,4,0.49%,,,
Non-Hispanic,449619,3723,82.80,188,5.05%,35,0.94%,,,
Unknown,N/A,1088,N/A,6,0.55%,11,1.01%,,,
,,,,,,,,,,
Total,"470,313",5623,119.56,236,4.20%,50,0.89%,,,
