,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3586,370.36,13,0.36%,0,0.00%,,,
18-44,"173,546",16067,925.81,132,0.82%,9,0.06%,,,
45-64,"116,740",8325,713.12,220,2.64%,39,0.47%,,,
65-74,"40,633",2309,568.26,144,6.24%,72,3.12%,,,
75+,"28,440",1610,566.10,235,14.60%,173,10.75%,,,
,,,,,,,,,,
Females,242211,16667,688.12,369,2.21%,117,0.70%,,,
Males,228102,14899,653.17,373,2.50%,176,1.18%,,,
Unknown,N/A,331,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,285,252.50,7,2.46%,1,0.35%,,,
Black,41858,2116,505.52,101,4.77%,26,1.23%,,,
White,404469,20891,516.50,600,2.87%,234,1.12%,,,
Hawaiian/Pacific Islander,470,41,872.34,4,9.76%,1,2.44%,,,
Other ,12229,949,776.02,14,1.48%,2,0.21%,,,
Unknown,N/A,7615,N/A,18,0.24%,29,0.38%,,,
,,,,,,,,,,
Hispanic,20694,1684,813.76,55,3.27%,8,0.48%,,,
Non-Hispanic,449619,18748,416.98,664,3.54%,250,1.33%,,,
Unknown,N/A,11465,N/A,25,0.22%,35,0.31%,,,
,,,,,,,,,,
Total,"470,313",31897,678.21,744,2.33%,293,0.92%,,,
