,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5198,536.84,23,0.44%,0,0.00%,,,
18-44,"173,546",21794,1255.81,158,0.72%,10,0.05%,,,
45-64,"116,740",11595,993.23,316,2.73%,74,0.64%,,,
65-74,"40,633",3299,811.90,258,7.82%,120,3.64%,,,
75+,"28,440",2413,848.45,416,17.24%,296,12.27%,,,
,,,,,,,,,,
Females,242211,23434,967.50,597,2.55%,226,0.96%,,,
Males,228102,20497,898.59,571,2.79%,274,1.34%,,,
Unknown,N/A,368,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,,
Black,41858,3222,769.75,128,3.97%,33,1.02%,,,
White,404469,32604,806.09,973,2.98%,412,1.26%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1516,1239.68,19,1.25%,3,0.20%,,,
Unknown,N/A,6385,N/A,35,0.55%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2446,1181.99,65,2.66%,9,0.37%,,,
Non-Hispanic,449619,31281,695.72,1043,3.33%,431,1.38%,,,
Unknown,N/A,10572,N/A,63,0.60%,60,0.57%,,,
,,,,,,,,,,
Total,"470,313",44299,941.90,1171,2.64%,500,1.13%,,,
