,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",614,63.41,6,0.98%,0,0.00%,,,
18-44,"173,546",3497,201.50,66,1.89%,5,0.14%,,,
45-64,"116,740",1422,121.81,95,6.68%,16,1.13%,,,
65-74,"40,633",326,80.23,31,9.51%,9,2.76%,,,
75+,"28,440",219,77.00,50,22.83%,23,10.50%,,,
,,,,,,,,,,
Females,242211,3080,127.16,125,4.06%,20,0.65%,,,
Males,228102,2956,129.59,123,4.16%,33,1.12%,,,
,,,,,,,,,,
Asian,11287,54,47.84,2,3.70%,0,0.00%,,,
Black,41858,725,173.20,53,7.31%,10,1.38%,,,
White,404469,4108,101.57,174,4.24%,34,0.83%,,,
Hawaiian/Pacific Islander,470,18,382.98,4,22.22%,0,0.00%,,,
Other ,12229,347,283.75,8,2.31%,2,0.58%,,,
Unknown,N/A,826,N/A,7,0.85%,7,0.85%,,,
,,,,,,,,,,
Hispanic,20694,879,424.76,44,5.01%,5,0.57%,,,
Non-Hispanic,449619,4220,93.86,197,4.67%,37,0.88%,,,
Unknown,N/A,979,N/A,7,0.72%,11,1.12%,,,
,,,,,,,,,,
Total,"470,313",6078,129.23,248,4.08%,53,0.87%,,,
