,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1686,174.13,11,0.65%,0,0.00%,,,
18-44,"173,546",8813,507.82,120,1.36%,5,0.06%,,,
45-64,"116,740",3634,311.29,169,4.65%,23,0.63%,,,
65-74,"40,633",991,243.89,92,9.28%,28,2.83%,,,
75+,"28,440",647,227.50,122,18.86%,72,11.13%,,,
,,,,,,,,,,
Females,242211,8223,339.50,267,3.25%,44,0.54%,,,
Males,228102,7423,325.42,245,3.30%,84,1.13%,,,
Unknown,N/A,125,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,166,147.07,4,2.41%,0,0.00%,,,
Black,41858,1340,320.13,85,6.34%,17,1.27%,,,
White,404469,11735,290.13,399,3.40%,104,0.89%,,,
Hawaiian/Pacific Islander,470,32,680.85,4,12.50%,0,0.00%,,,
Other ,12229,575,470.19,13,2.26%,2,0.35%,,,
Unknown,N/A,1923,N/A,9,0.47%,5,0.26%,,,
,,,,,,,,,,
Hispanic,20694,1388,670.73,49,3.53%,4,0.29%,,,
Non-Hispanic,449619,12155,270.34,454,3.74%,112,0.92%,,,
Unknown,N/A,2228,N/A,11,0.49%,12,0.54%,,,
,,,,,,,,,,
Total,"470,313",15771,335.33,514,3.26%,128,0.81%,,,
