,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13060,1345.19,47,0.36%,0,0.00%
18-44,183183,35839,1956.46,238,0.66%,37,0.10%
45-64,116628,18647,1598.84,475,2.55%,167,0.90%
65-74,46724,5077,1086.59,459,9.04%,206,4.06%
75+,31987,3422,1069.81,618,18.06%,446,13.03%
,,,,,,,
Females,244460,40218,1645.18,921,2.29%,380,0.94%
Males,231149,35123,1519.50,913,2.60%,476,1.36%
Unknown,N/A,704,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,787,670.53,18,2.29%,7,0.89%
Black,42291,6329,1496.54,227,3.59%,78,1.23%
White,408000,54327,1331.54,1522,2.80%,737,1.36%
Hawaiian/Pacific Islander,585,88,1504.27,4,4.55%,0,0.00%
Other ,12996,3779,2907.82,29,0.77%,5,0.13%
Unknown,N/A,10735,N/A,37,0.34%,29,0.27%
,,,,,,,
Hispanic,22336,3419,1530.71,82,2.40%,11,0.32%
Non-Hispanic,453273,52993,1169.12,1670,3.15%,775,1.46%
Unknown,N/A,19633,N/A,85,0.43%,70,0.36%
,,,,,,,
Total,"475,609",76045,1598.90,1837,2.42%,856,1.13%
