,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",992,102.45,10,1.01%,0,0.00%,,,
18-44,"173,546",5926,341.47,96,1.62%,5,0.08%,,,
45-64,"116,740",1982,169.78,120,6.05%,18,0.91%,,,
65-74,"40,633",521,128.22,52,9.98%,19,3.65%,,,
75+,"28,440",326,114.63,67,20.55%,35,10.74%,,,
,,,,,,,,,,
Females,242211,5022,207.34,179,3.56%,27,0.54%,,,
Males,228102,4667,204.60,166,3.56%,50,1.07%,,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,119,105.43,2,1.68%,0,0.00%,,,
Black,41858,988,236.04,70,7.09%,13,1.32%,,,
White,404469,7151,176.80,251,3.51%,60,0.84%,,,
Hawaiian/Pacific Islander,470,29,617.02,4,13.79%,0,0.00%,,,
Other ,12229,452,369.61,10,2.21%,2,0.44%,,,
Unknown,N/A,1008,N/A,8,0.79%,2,0.20%,,,
,,,,,,,,,,
Hispanic,20694,1162,561.52,48,4.13%,4,0.34%,,,
Non-Hispanic,449619,7425,165.14,287,3.87%,67,0.90%,,,
Unknown,N/A,1160,N/A,10,0.86%,6,0.52%,,,
,,,,,,,,,,
Total,"470,313",9747,207.24,345,3.54%,77,0.79%,,,
