,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6050,624.83,28,0.46%,0,0.00%,,,
18-44,"173,546",24427,1407.52,181,0.74%,11,0.05%,,,
45-64,"116,740",13122,1124.04,371,2.83%,90,0.69%,,,
65-74,"40,633",3683,906.41,304,8.25%,142,3.86%,,,
75+,"28,440",2617,920.18,462,17.65%,374,14.29%,,,
,,,,,,,,,,
Females,242211,26426,1091.03,672,2.54%,285,1.08%,,,
Males,228102,23136,1014.28,670,2.90%,332,1.43%,,,
Unknown,N/A,337,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,605,536.01,13,2.15%,5,0.83%,,,
Black,41858,3726,890.15,152,4.08%,41,1.10%,,,
White,404469,37942,938.07,1123,2.96%,540,1.42%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1605,1312.45,22,1.37%,3,0.19%,,,
Unknown,N/A,5962,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2682,1296.03,72,2.68%,6,0.22%,,,
Non-Hispanic,449619,37648,837.33,1219,3.24%,553,1.47%,,,
Unknown,N/A,9569,N/A,55,0.57%,58,0.61%,,,
,,,,,,,,,,
Total,"470,313",49899,1060.97,1346,2.70%,617,1.24%,,,
