,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,15167,1562.21,52,0.34%,0,0.00%,,,
18-44,183183,43265,2361.85,297,0.69%,46,0.11%,,,
45-64,116628,22230,1906.06,662,2.98%,218,0.98%,,,
65-74,46724,6026,1289.70,545,9.04%,253,4.20%,,,
75+,31987,4035,1261.45,723,17.92%,514,12.74%,,,
,,,,,,,,,,
Females,244460,48216,1972.35,1138,2.36%,462,0.96%,,,
Males,231149,41784,1807.67,1138,2.72%,569,1.36%,,,
Unknown,N/A,723,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,1027,875.01,20,1.95%,7,0.68%,,,
Black,42291,7557,1786.91,278,3.68%,96,1.27%,,,
White,408000,65345,1601.59,1886,2.89%,889,1.36%,,,
Hawaiian/Pacific Islander,585,105,1794.87,5,4.76%,1,0.95%,,,
Other ,12996,4686,3605.72,39,0.83%,6,0.13%,,,
Unknown,N/A,12003,N/A,51,0.42%,32,0.27%,,,
,,,,,,,,,,
Hispanic,22336,3802,1702.18,93,2.45%,14,0.37%,,,
Non-Hispanic,453273,62757,1384.53,2065,3.29%,936,1.49%,,,
Unknown,N/A,24164,N/A,121,0.50%,81,0.34%,,,
,,,,,,,,,,
Total,"475,609",90723,1907.51,2279,2.51%,1031,1.14%,,,
