,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2244,231.76,15,0.67%,0,0.00%,,,
18-44,"173,546",11185,644.50,127,1.14%,7,0.06%,,,
45-64,"116,740",5129,439.35,193,3.76%,28,0.55%,,,
65-74,"40,633",1444,355.38,111,7.69%,43,2.98%,,,
75+,"28,440",956,336.15,170,17.78%,105,10.98%,,,
,,,,,,,,,,
Females,242211,10916,450.68,310,2.84%,70,0.64%,,,
Males,228102,9858,432.18,303,3.07%,113,1.15%,,,
Unknown,N/A,184,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,216,191.37,5,2.31%,1,0.46%,,,
Black,41858,1606,383.68,94,5.85%,22,1.37%,,,
White,404469,14971,370.14,491,3.28%,145,0.97%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,688,562.60,13,1.89%,2,0.29%,,,
Unknown,N/A,3441,N/A,9,0.26%,13,0.38%,,,
,,,,,,,,,,
Hispanic,20694,1506,727.75,49,3.25%,7,0.46%,,,
Non-Hispanic,449619,14730,327.61,551,3.74%,156,1.06%,,,
Unknown,N/A,4722,N/A,16,0.34%,20,0.42%,,,
,,,,,,,,,,
Total,"470,313",20958,445.62,616,2.94%,183,0.87%,,,
