,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5816,600.67,27,0.46%,0,0.00%,,,
18-44,"173,546",23553,1357.16,170,0.72%,10,0.04%,,,
45-64,"116,740",12694,1087.37,348,2.74%,81,0.64%,,,
65-74,"40,633",3596,884.99,294,8.18%,140,3.89%,,,
75+,"28,440",2581,907.52,454,17.59%,364,14.10%,,,
,,,,,,,,,,
Females,242211,25561,1055.32,650,2.54%,271,1.06%,,,
Males,228102,22335,979.17,639,2.86%,324,1.45%,,,
Unknown,N/A,344,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,585,518.30,13,2.22%,5,0.85%,,,
Black,41858,3593,858.38,143,3.98%,35,0.97%,,,
White,404469,36509,902.64,1080,2.96%,524,1.44%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1556,1272.39,22,1.41%,3,0.19%,,,
Unknown,N/A,5939,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2620,1266.07,71,2.71%,6,0.23%,,,
Non-Hispanic,449619,36083,802.52,1169,3.24%,532,1.47%,,,
Unknown,N/A,9537,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48240,1025.70,1293,2.68%,595,1.23%,,,
