,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5641,582.59,27,0.48%,0,0.00%,,,
18-44,"173,546",22953,1322.59,166,0.72%,11,0.05%,,,
45-64,"116,740",12318,1055.17,337,2.74%,79,0.64%,,,
65-74,"40,633",3502,861.86,281,8.02%,129,3.68%,,,
75+,"28,440",2551,896.98,448,17.56%,317,12.43%,,,
,,,,,,,,,,
Females,242211,24860,1026.38,639,2.57%,242,0.97%,,,
Males,228102,21732,952.73,616,2.83%,294,1.35%,,,
Unknown,N/A,373,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,564,499.69,13,2.30%,4,0.71%,,,
Black,41858,3464,827.56,141,4.07%,34,0.98%,,,
White,404469,35307,872.92,1050,2.97%,447,1.27%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1520,1242.95,21,1.38%,3,0.20%,,,
Unknown,N/A,6053,N/A,30,0.50%,47,0.78%,,,
,,,,,,,,,,
Hispanic,20694,2559,1236.59,70,2.74%,10,0.39%,,,
Non-Hispanic,449619,34573,768.94,1137,3.29%,461,1.33%,,,
Unknown,N/A,9833,N/A,52,0.53%,65,0.66%,,,
,,,,,,,,,,
Total,"470,313",46965,998.59,1259,2.68%,536,1.14%,,,
