,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1372,141.70,11,0.80%,0,0.00%,,,
18-44,"173,546",7498,432.05,110,1.47%,5,0.07%,,,
45-64,"116,740",2922,250.30,157,5.37%,21,0.72%,,,
65-74,"40,633",2922,719.12,79,2.70%,24,0.82%,,,
75+,"28,440",488,171.59,98,20.08%,50,10.25%,,,
,,,,,,,,,,
Females,242211,6760,279.10,240,3.55%,37,0.55%,,,
Males,228102,6221,272.73,214,3.44%,63,1.01%,,,
Unknown,N/A,82,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,142,125.81,3,2.11%,0,0.00%,,,
Black,41858,1221,291.70,84,6.88%,15,1.23%,,,
White,404469,9681,239.35,343,3.54%,81,0.84%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,509,416.22,13,2.55%,2,0.39%,,,
Unknown,N/A,1480,N/A,8,0.54%,2,0.14%,,,
,,,,,,,,,,
Hispanic,20694,1298,627.23,49,3.78%,4,0.31%,,,
Non-Hispanic,449619,10091,224.43,394,3.90%,89,0.88%,,,
Unknown,N/A,1674,N/A,12,0.72%,7,0.42%,,,
,,,,,,,,,,
Total,"470,313",13063,277.75,455,3.48%,100,0.77%,,,
