,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14535,1497.11,50,0.34%,0,0.00%
18-44,183183,39905,2178.42,288,0.72%,43,0.11%
45-64,116628,20774,1781.22,641,3.09%,213,1.03%
65-74,46724,5666,1212.65,529,9.34%,241,4.25%
75+,31987,3813,1192.05,708,18.57%,502,13.17%
,,,,,,,
Females,244460,44913,1837.23,1107,2.46%,443,0.99%
Males,231149,39074,1690.42,1106,2.83%,556,1.42%
Unknown,N/A,706,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,917,781.29,20,2.18%,7,0.76%
Black,42291,6981,1650.71,271,3.88%,91,1.30%
White,408000,61585,1509.44,1832,2.97%,863,1.40%
Hawaiian/Pacific Islander,585,148,2529.91,5,3.38%,1,0.68%
Other ,12996,4216,3244.08,38,0.90%,6,0.14%
Unknown,N/A,10846,N/A,50,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3719,1665.03,92,2.47%,13,0.35%
Non-Hispanic,453273,60532,1335.44,2013,3.33%,906,1.50%
Unknown,N/A,20442,N/A,111,0.54%,80,0.39%
,,,,,,,
Total,"475,609",84693,1780.73,2216,2.62%,999,1.18%
