,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,12467,1284.11,46,0.37%,0,0.00%
18-44,183183,34580,1887.73,227,0.66%,30,0.09%
45-64,116628,17884,1533.42,452,2.53%,149,0.83%
65-74,46724,4861,1040.36,431,8.87%,195,4.01%
75+,31987,3262,1019.79,591,18.12%,432,13.24%
,,,,,,,
Females,244460,38714,1583.65,881,2.28%,359,0.93%
Males,231149,33717,1458.67,863,2.56%,447,1.33%
Unknown,N/A,623,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,770,656.04,16,2.08%,6,0.78%
Black,42291,5979,1413.78,217,3.63%,69,1.15%
White,408000,51784,1269.22,1446,2.79%,697,1.35%
Hawaiian/Pacific Islander,585,88,1504.27,4,4.55%,0,0.00%
Other ,12996,3508,2699.29,29,0.83%,5,0.14%
Unknown,N/A,10925,N/A,35,0.32%,29,0.27%
,,,,,,,
Hispanic,22336,3306,1480.12,81,2.45%,11,0.33%
Non-Hispanic,453273,49918,1101.28,1585,3.18%,728,1.46%
Unknown,N/A,19830,N/A,81,0.41%,67,0.34%
,,,,,,,
Total,"475,609",73054,1536.01,1747,2.39%,806,1.10%
