,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",5632,581.66,27,0.48%,0,0.00%,,
18-44,"173,546",22925,1320.98,166,0.72%,11,0.05%,,
45-64,"116,740",12294,1053.11,337,2.74%,78,0.63%,,
65-74,"40,633",3497,860.63,281,8.04%,129,3.69%,,
75+,"28,440",2544,894.51,448,17.61%,317,12.46%,,
,,,,,,,,,
Females,242211,24825,1024.93,639,2.57%,241,0.97%,,
Males,228102,21694,951.07,616,2.84%,294,1.36%,,
Unknown,N/A,373,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,564,499.69,13,2.30%,4,0.71%,,
Black,41858,3459,826.37,141,4.08%,34,0.98%,,
White,404469,35248,871.46,1050,2.98%,446,1.27%,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,
Other ,12229,1520,1242.95,21,1.38%,3,0.20%,,
Unknown,N/A,6044,N/A,30,0.50%,47,0.78%,,
,,,,,,,,,
Hispanic,20694,2557,1235.62,70,2.74%,10,0.39%,,
Non-Hispanic,449619,34512,767.58,1137,3.29%,460,1.33%,,
Unknown,N/A,9823,N/A,52,0.53%,65,0.66%,,
,,,,,,,,,
Total,"470,313",46892,997.04,1259,2.68%,535,1.14%,,
