,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1061,109.58,10,0.94%,0,0.00%,,
18-44,"173,546",6165,355.24,97,1.57%,5,0.08%,,
45-64,"116,740",2115,181.17,127,6.00%,20,0.95%,,
65-74,"40,633",560,137.82,60,10.71%,21,3.75%,,
75+,"28,440",354,124.47,75,21.19%,37,10.45%,,
,,,,,,,,,
Females,242211,5283,218.12,193,3.65%,29,0.55%,,
Males,228102,4914,215.43,176,3.58%,54,1.10%,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,131,116.06,2,1.53%,0,0.00%,,
Black,41858,1021,243.92,71,6.95%,13,1.27%,,
White,404469,7542,186.47,273,3.62%,66,0.88%,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,
Other ,12229,456,372.88,10,2.19%,2,0.44%,,
Unknown,N/A,1019,N/A,9,0.88%,2,0.20%,,
,,,,,,,,,
Hispanic,20694,1191,575.53,48,4.03%,4,0.34%,,
Non-Hispanic,449619,7871,175.06,311,3.95%,73,0.93%,,
Unknown,N/A,1135,N/A,10,0.88%,6,0.53%,,
,,,,,,,,,
Total,"470,313",10255,218.05,369,3.60%,83,0.81%,,
