,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,"96,826",6418,662.84,28,0.44%,0,0.00%
18-44,"173,546",25563,1472.98,190,0.74%,13,0.05%
45-64,"116,740",13682,1172.01,399,2.92%,98,0.72%
65-74,"40,633",3796,934.22,317,8.35%,145,3.82%
75+,"28,440",2654,933.19,481,18.12%,385,14.51%
,,,,,,,
Females,242211,27586,1138.92,707,2.56%,289,1.05%
Males,228102,24185,1060.27,704,2.91%,352,1.46%
Unknown,N/A,342,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11287,632,559.94,15,2.37%,6,0.95%
Black,41858,3940,941.28,163,4.14%,44,1.12%
White,404469,39818,984.45,1180,2.96%,559,1.40%
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%
Other ,12229,1811,1480.91,23,1.27%,4,0.22%
Unknown,N/A,5848,N/A,30,0.51%,28,0.48%
,,,,,,,
Hispanic,20694,2792,1349.18,73,2.61%,6,0.21%
Non-Hispanic,449619,39786,884.88,1285,3.23%,576,1.45%
Unknown,N/A,9535,N/A,57,0.60%,59,0.62%
,,,,,,,
Total,"470,313",52113,1108.05,1415,2.72%,641,1.23%
