,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,18631,1919.00,64,0.34%,0,0.00%
18-44,183183,51919,2834.27,299,0.58%,50,0.10%
45-64,116628,26653,2285.30,669,2.51%,241,0.90%
65-74,46724,7072,1513.57,586,8.29%,271,3.83%
75+,31987,4581,1432.14,773,16.87%,568,12.40%
,,,,,,,
Females,244460,58352,2386.98,1185,2.03%,505,0.87%
Males,231149,49704,2150.30,1203,2.42%,625,1.26%
Unknown,N/A,800,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1270,1082.05,20,1.57%,8,0.63%
Black,42291,8824,2086.50,297,3.37%,104,1.18%
White,408000,75215,1843.50,1975,2.63%,976,1.30%
Hawaiian/Pacific Islander,585,123,2102.56,5,4.07%,1,0.81%
Other ,12996,6630,5101.57,43,0.65%,6,0.09%
Unknown,N/A,16794,N/A,51,0.30%,35,0.21%
,,,,,,,
Hispanic,22336,4069,1821.72,96,2.36%,17,0.42%
Non-Hispanic,453273,68658,1514.72,2165,3.15%,1024,1.49%
Unknown,N/A,36129,N/A,130,0.36%,89,0.25%
,,,,,,,
Total,"475,609",108856,2288.77,2391,2.20%,1130,1.04%
