,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6389,659.84,28,0.44%,0,0.00%,,
18-44,"173,546",25525,1470.79,190,0.74%,12,0.05%,,
45-64,"116,740",13663,1170.38,394,2.88%,96,0.70%,,
65-74,"40,633",3780,930.28,316,8.36%,144,3.81%,,
75+,"28,440",2662,936.01,479,17.99%,384,14.43%,,
,,,,,,,,,
Females,242211,27493,1135.08,702,2.55%,289,1.05%,,
Males,228102,24174,1059.79,701,2.90%,347,1.44%,,
Unknown,N/A,352,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,635,562.59,14,2.20%,5,0.79%,,
Black,41858,3911,934.35,161,4.12%,43,1.10%,,
White,404469,39657,980.47,1174,2.96%,557,1.40%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1789,1462.92,22,1.23%,3,0.17%,,
Unknown,N/A,5963,N/A,32,0.54%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2783,1344.83,72,2.59%,6,0.22%,,
Non-Hispanic,449619,39596,880.66,1276,3.22%,571,1.44%,,
Unknown,N/A,9640,N/A,59,0.61%,59,0.61%,,
,,,,,,,,,
Total,"470,313",52019,1106.05,1407,2.70%,636,1.22%,,
