,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1072,110.71,10,0.93%,0,0.00%,,,
18-44,"173,546",6249,360.08,97,1.55%,5,0.08%,,,
45-64,"116,740",2148,184.00,130,6.05%,20,0.93%,,,
65-74,"40,633",566,139.30,61,10.78%,20,3.53%,,,
75+,"28,440",360,126.58,76,21.11%,39,10.83%,,,
,,,,,,,,,,
Females,242211,5357,221.17,197,3.68%,29,0.54%,,,
Males,228102,4981,218.37,177,3.55%,55,1.10%,,,
Unknown,N/A,57,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,131,116.06,2,1.53%,0,0.00%,,,
Black,41858,1021,243.92,73,7.15%,13,1.27%,,,
White,404469,7542,186.47,278,3.69%,67,0.89%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,456,372.88,10,2.19%,2,0.44%,,,
Unknown,N/A,1019,N/A,7,0.69%,2,0.20%,,,
,,,,,,,,,,
Hispanic,20694,1191,575.53,48,4.03%,4,0.34%,,,
Non-Hispanic,449619,7871,175.06,316,4.01%,74,0.94%,,,
Unknown,N/A,1135,N/A,10,0.88%,6,0.53%,,,
,,,,,,,,,,
Total,"470,313",10395,221.02,374,3.60%,84,0.81%,,,
