,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22147,2281.15,72,0.33%,1,0.00%
18-44,183183,59926,3271.37,308,0.51%,61,0.10%
45-64,116628,31559,2705.95,717,2.27%,289,0.92%
65-74,46724,8540,1827.75,700,8.20%,326,3.82%
75+,31987,5688,1778.22,922,16.21%,678,11.92%
,,,,,,,
Females,244460,68930,2819.68,1358,1.97%,623,0.90%
Males,231149,58093,2513.23,1358,2.34%,732,1.26%
Unknown,N/A,837,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1565,1333.39,22,1.41%,9,0.58%
Black,42291,10426,2465.30,332,3.18%,126,1.21%
White,408000,89901,2203.46,2259,2.51%,1174,1.31%
Hawaiian/Pacific Islander,585,141,2410.26,5,3.55%,1,0.71%
Other ,12996,8257,6353.49,48,0.58%,8,0.10%
Unknown,N/A,17570,N/A,53,0.30%,37,0.21%
,,,,,,,
Hispanic,22336,4604,2061.25,104,2.26%,21,0.46%
Non-Hispanic,453273,85899,1895.08,2481,2.89%,1236,1.44%
Unknown,N/A,37357,N/A,134,0.36%,98,0.26%
,,,,,,,
Total,"475,609",127860,2688.34,2719,2.13%,1355,1.06%
