,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1534,158.43,11,0.72%,0,0.00%,,,
18-44,"173,546",8153,469.79,114,1.40%,5,0.06%,,,
45-64,"116,740",3297,282.42,163,4.94%,21,0.64%,,,
65-74,"40,633",883,217.31,84,9.51%,27,3.06%,,,
75+,"28,440",572,201.13,119,20.80%,58,10.14%,,,
,,,,,,,,,,
Females,242211,7495,309.44,256,3.42%,38,0.51%,,,
Males,228102,6846,300.13,234,3.42%,73,1.07%,,,
Unknown,N/A,98,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,149,132.01,3,2.01%,0,0.00%,,,
Black,41858,1305,311.77,84,6.44%,17,1.30%,,,
White,404469,10713,264.87,378,3.53%,91,0.85%,,,
Hawaiian/Pacific Islander,470,31,659.57,4,12.90%,0,0.00%,,,
Other ,12229,538,439.94,13,2.42%,2,0.37%,,,
Unknown,N/A,1703,N/A,9,0.53%,1,0.06%,,,
,,,,,,,,,,
Hispanic,20694,1343,648.98,49,3.65%,4,0.30%,,,
Non-Hispanic,449619,11065,246.10,431,3.90%,100,0.90%,,,
Unknown,N/A,2031,N/A,11,0.54%,7,0.34%,,,
,,,,,,,,,,
Total,"470,313",14439,307.01,491,3.40%,111,0.77%,,,
