,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5579,576.19,26,0.47%,0,0.00%,,,
18-44,"173,546",22792,1313.31,165,0.72%,11,0.05%,,,
45-64,"116,740",12203,1045.31,332,2.72%,78,0.64%,,,
65-74,"40,633",3467,853.25,280,8.08%,129,3.72%,,,
75+,"28,440",2531,889.94,442,17.46%,317,12.52%,,,
,,,,,,,,,,
Females,242211,24641,1017.34,631,2.56%,241,0.98%,,,
Males,228102,21560,945.19,611,2.83%,294,1.36%,,,
Unknown,N/A,371,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,557,493.49,12,2.15%,4,0.72%,,,
Black,41858,3445,823.02,136,3.95%,34,0.99%,,,
White,404469,34973,864.66,1043,2.98%,446,1.28%,,,
Hawaiian/Pacific Islander,470,56,1191.49,4,7.14%,1,1.79%,,,
Other ,12229,1514,1238.04,20,1.32%,3,0.20%,,,
Unknown,N/A,6027,N/A,30,0.50%,47,0.78%,,,
,,,,,,,,,,
Hispanic,20694,2547,1230.79,69,2.71%,10,0.39%,,,
Non-Hispanic,449619,34263,762.05,1123,3.28%,460,1.34%,,,
Unknown,N/A,9762,N/A,53,0.54%,65,0.67%,,,
,,,,,,,,,,
Total,"470,313",46572,990.23,1245,2.67%,535,1.15%,,,
